Player,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG,POS
Travis Kelce,KC,0%,64%,61%,79%,59%,69%,75%,85%,,,,,,,,,,,336,70%,te
Josh Whyle,TEN,3%,22%,13%,29%,37%,4%,bye,0%,,,,,,,,,,,65,18%,te
Stone Smartt,LAC,7%,32%,26%,40%,bye,15%,44%,57%,,,,,,,,,,,149,31%,te
Brevin Jordan,HOU,0%,18%,18%,20%,3%,19%,bye,0%,,,,,,,,,,,53,16%,te
Will Mallory,IND,0%,19%,0%,0%,0%,12%,13%,21%,,,,,,,,,,,44,16%,te
Noah Fant,SEA,49%,47%,63%,45%,bye,42%,60%,59%,,,,,,,,,,,232,52%,te
Luke Schoonmaker,DAL,28%,36%,23%,56%,41%,27%,bye,38%,,,,,,,,,,,167,35%,te
Foster Moreau,NO,49%,47%,0%,0%,67%,48%,50%,70%,,,,,,,,,,,246,54%,te
Jimmy Graham,NO,14%,13%,28%,65%,38%,17%,20%,0%,,,,,,,,,,,137,27%,te
Ben Sims,GB,15%,10%,4%,11%,16%,bye,6%,7%,,,,,,,,,,,41,9%,te
Julian Hill,MIA,0%,0%,78%,15%,26%,46%,29%,44%,,,,,,,,,,,160,42%,te
Nate Adkins,DEN,0%,8%,10%,13%,11%,0%,10%,6%,,,,,,,,,,,34,9%,te
C.J. Uzomah,NYJ,56%,32%,44%,36%,45%,37%,bye,47%,,,,,,,,,,,177,42%,te
Pharaoh Brown,NE,8%,11%,35%,40%,20%,32%,38%,40%,,,,,,,,,,,135,27%,te
Brenton Strange,JAC,39%,25%,29%,36%,27%,53%,23%,41%,,,,,,,,,,,189,34%,te
Luke Farrell,JAC,47%,28%,34%,39%,38%,45%,36%,46%,,,,,,,,,,,218,39%,te
Johnny Mundt,MIN,8%,2%,9%,17%,14%,12%,11%,6%,,,,,,,,,,,50,10%,te
Tre' McKitty,LAC,7%,7%,15%,35%,bye,10%,0%,22%,,,,,,,,,,,66,16%,te
Brady Russell,SEA,0%,0%,7%,0%,bye,0%,3%,2%,,,,,,,,,,,8,4%,te
Tanner Hudson,CIN,0%,0%,47%,43%,0%,0%,bye,0%,,,,,,,,,,,59,45%,te
Tucker Kraft,GB,22%,4%,13%,23%,40%,bye,50%,28%,,,,,,,,,,,112,26%,te
Darnell Washington,PIT,38%,48%,47%,42%,70%,bye,53%,15%,,,,,,,,,,,191,44%,te
Marcedes Lewis,CHI,7%,15%,18%,29%,34%,24%,32%,26%,,,,,,,,,,,121,23%,te
Sean McKeon,DAL,0%,0%,0%,26%,12%,12%,bye,17%,,,,,,,,,,,43,17%,te
Brayden Willis,SF,0%,0%,6%,2%,0%,0%,0%,0%,,,,,,,,,,,6,4%,te
Jeremy Ruckert,NYJ,33%,11%,2%,42%,29%,35%,bye,42%,,,,,,,,,,,118,28%,te
Quintin Morris,BUF,9%,19%,28%,26%,10%,30%,0%,0%,,,,,,,,,,,79,20%,te
Kevin Rader,TEN,0%,0%,0%,14%,8%,24%,bye,24%,,,,,,,,,,,43,17%,te
Darrell Daniels,DET,0%,0%,0%,7%,25%,3%,0%,0%,,,,,,,,,,,22,11%,te
Matt Bushman,KC,11%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,7,11%,te
James Mitchell,DET,9%,3%,3%,13%,0%,0%,0%,7%,,,,,,,,,,,26,7%,te
Ross Dwelley,SF,18%,2%,14%,7%,21%,6%,6%,7%,,,,,,,,,,,55,11%,te
Tyler Kroft,MIA,3%,5%,0%,0%,0%,0%,0%,4%,,,,,,,,,,,8,4%,te
Davis Allen,LAR,1%,0%,0%,1%,2%,7%,19%,5%,,,,,,,,,,,23,6%,te
Grant Calcaterra,PHI,6%,13%,15%,1%,8%,7%,21%,0%,,,,,,,,,,,53,10%,te
John FitzPatrick,ATL,0%,1%,0%,2%,1%,0%,0%,0%,,,,,,,,,,,3,1%,te
Jacob Harris,JAC,0%,0%,10%,11%,0%,0%,0%,0%,,,,,,,,,,,14,10%,te
Rodney Williams,PIT,0%,0%,0%,0%,6%,bye,19%,18%,,,,,,,,,,,27,14%,te
Payne Durham,TB,0%,0%,0%,0%,bye,11%,21%,12%,,,,,,,,,,,29,15%,te
J.P. Holtz,NO,0%,0%,0%,0%,0%,1%,0%,0%,,,,,,,,,,,1,1%,te
Tanner Conner,MIA,0%,0%,0%,0%,0%,15%,2%,0%,,,,,,,,,,,11,9%,te
Stephen Sullivan,CAR,0%,0%,0%,0%,0%,9%,bye,19%,,,,,,,,,,,19,14%,te
Jesper Horsted,LV,0%,0%,0%,0%,0%,0%,8%,0%,,,,,,,,,,,5,8%,te
Elijah Higgins,ARI,0%,0%,0%,0%,0%,0%,9%,16%,,,,,,,,,,,18,13%,te
Tucker Fisk,ATL,0%,0%,0%,0%,0%,0%,3%,0%,,,,,,,,,,,2,3%,te
