YEAR,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2022,KC,ARI,LAC,IND,TB,LV,BUF,SF,BYE,TEN,JAX,LAC,LAR,CIN,DEN,HOU,SEA,DEN,LV
2022,LV,LAC,ARI,TEN,DEN,KC,BYE,HOU,NO,JAX,IND,DEN,SEA,LAC,LAR,NE,PIT,SF,KC
2022,LAR,BUF,ATL,ARI,SF,DAL,CAR,BYE,SF,TB,ARI,NO,KC,SEA,LV,GB,DEN,LAC,SEA
2022,LAC,LV,KC,JAX,HOU,CLE,DEN,SEA,BYE,ATL,SF,KC,ARI,LV,MIA,TEN,IND,LAR,DEN
2022,MIA,NE,BAL,BUF,CIN,NYJ,MIN,PIT,DET,CHI,CLE,BYE,HOU,SF,LAC,BUF,GB,NE,NYJ
2022,MIN,GB,PHI,DET,NO,CHI,MIA,BYE,ARI,WSH,BUF,DAL,NE,NYJ,DET,IND,NYG,GB,CHI
2022,NE,MIA,PIT,BAL,GB,DET,CLE,CHI,NYJ,IND,BYE,NYJ,MIN,BUF,ARI,LV,CIN,MIA,BUF
2022,NO,ATL,TB,CAR,MIN,SEA,CIN,ARI,LV,BAL,PIT,LAR,SF,TB,BYE,ATL,CLE,PHI,CAR
2022,NYG,TEN,CAR,DAL,CHI,GB,BAL,JAX,SEA,BYE,HOU,DET,DAL,WSH,PHI,WSH,MIN,IND,PHI
2022,NYJ,BAL,CLE,CIN,PIT,MIA,GB,DEN,NE,BUF,BYE,NE,CHI,MIN,BUF,DET,JAX,SEA,MIA
2022,PHI,DET,MIN,WSH,JAX,ARI,DAL,BYE,PIT,HOU,WSH,IND,GB,TEN,NYG,CHI,DAL,NO,NYG
2022,PIT,CIN,NE,CLE,NYJ,BUF,TB,MIA,PHI,BYE,NO,CIN,IND,ATL,BAL,CAR,LV,BAL,CLE
2022,SF,CHI,SEA,DEN,LAR,CAR,ATL,KC,LAR,BYE,LAC,ARI,NO,MIA,TB,SEA,WSH,LV,ARI
2022,SEA,DEN,SF,ATL,DET,NO,ARI,LAC,NYG,ARI,TB,BYE,LV,LAR,CAR,SF,KC,NYJ,LAR
2022,TB,DAL,NO,GB,KC,ATL,PIT,CAR,BAL,LAR,SEA,BYE,CLE,NO,SF,CIN,ARI,CAR,ATL
2022,TEN,NYG,BUF,LV,IND,WSH,BYE,IND,HOU,KC,DEN,GB,CIN,PHI,JAX,LAC,HOU,DAL,JAX
2022,WSH,JAX,DET,PHI,DAL,TEN,CHI,GB,IND,MIN,PHI,HOU,ATL,NYG,BYE,NYG,SF,CLE,DAL
2023,ARI,WSH,NYG,DAL,SF,CIN,LAR,SEA,BAL,CLE,ATL,HOU,LAR,PIT,BYE,SF,CHI,PHI,SEA
2023,ATL,CAR,GB,DET,JAX,HOU,WSH,TB,TEN,MIN,ARI,BYE,NO,NYJ,TB,CAR,IND,CHI,NO
2023,BAL,HOU,CIN,IND,CLE,PIT,TEN,DET,ARI,SEA,CLE,CIN,LAC,BYE,LAR,JAX,SF,MIA,PIT
2023,BUF,NYJ,LV,WSH,MIA,JAX,NYG,NE,TB,CIN,DEN,NYJ,PHI,BYE,KC,DAL,LAC,NE,MIA
2023,CAR,ATL,NO,SEA,MIN,DET,MIA,BYE,HOU,IND,CHI,DAL,TEN,TB,NO,ATL,GB,JAX,TB
2023,CHI,GB,TB,KC,DEN,WSH,MIN,LV,LAC,NO,CAR,DET,MIN,BYE,DET,CLE,ARI,ATL,GB
2023,CIN,CLE,BAL,LAR,TEN,ARI,SEA,BYE,SF,BUF,HOU,BAL,PIT,JAX,IND,MIN,PIT,KC,CLE
2023,CLE,CIN,PIT,TEN,BAL,BYE,SF,IND,SEA,ARI,BAL,PIT,DEN,LAR,JAX,CHI,HOU,NYJ,CIN
2023,DAL,NYG,NYJ,ARI,NE,SF,LAC,BYE,LAR,PHI,NYG,CAR,WSH,SEA,PHI,BUF,MIA,DET,WSH
2023,DEN,LV,WSH,MIA,CHI,NYJ,KC,GB,KC,BYE,BUF,MIN,CLE,HOU,LAC,DET,NE,LAC,LV
2023,DET,KC,SEA,ATL,GB,CAR,TB,BAL,LV,BYE,LAC,CHI,GB,NO,CHI,DEN,MIN,DAL,MIN
2023,GB,CHI,ATL,NO,DET,LV,BYE,DEN,MIN,LAR,PIT,LAC,DET,KC,NYG,TB,CAR,MIN,CHI
2023,HOU,BAL,IND,JAX,PIT,ATL,NO,BYE,CAR,TB,CIN,ARI,JAX,DEN,NYJ,TEN,CLE,TEN,IND
2023,IND,JAX,HOU,BAL,LAR,TEN,JAX,CLE,NO,CAR,NE,BYE,TB,TEN,CIN,PIT,ATL,LV,HOU
2023,JAX,IND,KC,HOU,ATL,BUF,IND,NO,PIT,BYE,SF,TEN,HOU,CIN,CLE,BAL,TB,CAR,TEN
2023,KC,DET,JAX,CHI,NYJ,MIN,DEN,LAC,DEN,MIA,BYE,PHI,LV,GB,BUF,NE,LV,CIN,LAC
2023,LV,DEN,BUF,PIT,LAC,GB,NE,CHI,DET,NYG,NYJ,MIA,KC,BYE,MIN,LAC,KC,IND,DEN
2023,LAR,SEA,SF,CIN,IND,PHI,ARI,PIT,DAL,GB,BYE,SEA,ARI,CLE,BAL,WSH,NO,NYG,SF
2023,LAC,MIA,TEN,MIN,LV,BYE,DAL,KC,CHI,NYJ,DET,GB,BAL,NE,DEN,LV,BUF,DEN,KC
2023,MIA,LAC,NE,DEN,BUF,NYG,CAR,PHI,NE,KC,BYE,LV,NYJ,WSH,TEN,NYJ,DAL,BAL,BUF
2023,MIN,TB,PHI,LAC,CAR,KC,CHI,SF,GB,ATL,NO,DEN,CHI,BYE,LV,CIN,DET,GB,DET
2023,NE,PHI,MIA,NYJ,DAL,NO,LV,BUF,MIA,WSH,IND,BYE,NYG,LAC,PIT,KC,DEN,BUF,NYJ
2023,NO,TEN,CAR,GB,TB,NE,HOU,JAX,IND,CHI,MIN,BYE,ATL,DET,CAR,NYG,LAR,TB,ATL
2023,NYG,DAL,ARI,SF,SEA,MIA,BUF,WSH,NYJ,LV,DAL,WSH,NE,BYE,GB,NO,PHI,LAR,PHI
2023,NYJ,BUF,DAL,NE,KC,DEN,PHI,BYE,NYG,LAC,LV,BUF,MIA,ATL,HOU,MIA,WSH,CLE,NE
2023,PHI,NE,MIN,TB,WSH,LAR,NYJ,MIA,WSH,DAL,BYE,KC,BUF,SF,DAL,SEA,NYG,ARI,NYG
2023,PIT,SF,CLE,LV,HOU,BAL,BYE,LAR,JAX,TEN,GB,CLE,CIN,ARI,NE,IND,CIN,SEA,BAL
2023,SF,PIT,LAR,NYG,ARI,DAL,CLE,MIN,CIN,BYE,JAX,TB,SEA,PHI,SEA,ARI,BAL,WSH,LAR
2023,SEA,LAR,DET,CAR,NYG,BYE,CIN,ARI,CLE,BAL,WSH,LAR,SF,DAL,SF,PHI,TEN,PIT,ARI
2023,TB,MIN,CHI,PHI,NO,BYE,DET,ATL,BUF,HOU,TEN,SF,IND,CAR,ATL,GB,JAX,NO,CAR
2023,TEN,NO,LAC,CLE,CIN,IND,BAL,BYE,ATL,PIT,TB,JAX,CAR,IND,MIA,HOU,SEA,HOU,JAX
2023,WSH,ARI,DEN,BUF,PHI,CHI,ATL,NYG,PHI,NE,SEA,NYG,DAL,MIA,BYE,LAR,NYJ,SF,DAL
