,mse,mae,rsquared
1,14.294338115005736,1.9773373373641225,0.6856363613896153
2,12.449791760731742,1.8117643500535956,0.7262019544831756
3,12.206025448565091,1.8969205934761573,0.7319172881564795
4,11.953840166526977,1.833208139744026,0.7374560701769404
5,11.535274902047908,1.838439942854919,0.7466490799455905
6,11.372536476970803,1.7549795195312294,0.7502233276398669
7,11.959615992132363,2.0792409502704694,0.7373292148792883
8,10.972322761055437,1.7904682997347345,0.7593321910435606
9,10.782143159573373,1.702247832936731,0.7635036057014808
10,11.041730738538247,1.7527863326808868,0.7578097908892218
11,10.938986110526914,1.7457898384735817,0.7600633998145169
12,10.861119158724668,1.7458898554546187,0.7617713397911714
13,10.677930221544827,1.7296183815848696,0.7660999782514303
14,10.770501284522453,1.7749968605954571,0.7640722094615512
15,11.073304172570298,1.8586226586623495,0.7574393133262107
16,10.429223641028095,1.726014044247617,0.7715478949717045
17,10.678644960920234,1.7888742333022039,0.766084321888073
18,11.224901712339689,1.8854355682252333,0.7544439550106777
19,10.884452855394397,1.746557937732878,0.7618916170904908
20,11.901191539737027,1.8041338903219355,0.7396494330150292
21,12.14037782421126,1.8473764869678604,0.7344169918287855
22,10.780141113061568,1.8307856678645658,0.7641735416497978
23,11.840996283097589,1.7907696296315834,0.7412805314543227
24,10.812016955655539,1.6849188720596615,0.7637631822698041
25,10.889150158189777,1.7196866273786375,0.7620778628347012
