,mse,mae,rsquared
1,8.878036503576318,1.415491610553425,0.5329574875581593
2,8.454711971547864,1.2870819178965722,0.555227113610856
3,8.191445234146741,1.4473948919652357,0.5690766577559669
4,8.152217272824092,1.4434817341014299,0.5717172368759225
5,7.93526158069225,1.473826067647574,0.5831151646043051
6,7.660963178572864,1.4648428326433451,0.5975256340077431
7,7.279666930309636,1.505782600834523,0.6175573143849822
8,6.497556727649337,1.5245478407495499,0.6586460522648604
9,6.538533829868848,1.340445302223365,0.65685847676477
10,6.419133991637647,1.3547752870135896,0.6631245669052741
11,5.963284113296156,1.4194735149609938,0.6870475174765693
12,5.930557747593236,1.484891665146117,0.6887649934841039
13,7.135713121597582,1.4851253777896682,0.625518574404359
14,6.000303004819986,1.4113137052907325,0.6853989702178167
15,5.792965742204925,1.4331404911683523,0.6962698406186147
16,6.372928266188908,1.5344185982743799,0.6658619083635487
17,5.893299964152838,1.4671979496459184,0.6910092313590738
18,6.210999223568708,1.5444090223876727,0.674351986867757
19,6.266897874375846,1.5178448164304978,0.6715580093336553
20,5.645542186749805,1.408632702905076,0.7041226534441319
21,5.883921958261638,1.46530321899846,0.6916294026748695
22,6.111316936010086,1.5446342384546579,0.6797118542072925
23,6.079240356122577,1.5623117726340712,0.6813929563990322
24,6.098385349784623,1.4936860889555168,0.6806868488780198
25,5.614389104997911,1.3884785974104572,0.7060290267152253
