,mse,mae,rsquared
1,37.0356162822788,3.8370912870238807,0.5419735464196269
2,33.23244521655303,3.66888783791486,0.5890080804831891
3,33.32635436266897,3.6485137635118825,0.5878466883565829
4,33.28157397547395,3.7531653226824373,0.5884004958531444
5,31.698635872441088,3.5494531362105968,0.6091200845380911
6,29.76639182687288,3.5801200055794737,0.6329468319168361
7,30.75425093046584,3.6535455555866605,0.6207654155159997
8,25.946616685263486,3.3205165644662578,0.6800489655999409
9,25.068964375533003,3.405565396030392,0.6908714079918753
10,23.841946534170013,3.2499121136213898,0.7061768910785358
11,23.60887995225206,3.283781278486083,0.7090491543640309
12,23.30138755045496,3.2011237871717424,0.7128386257201664
13,24.825067184230218,3.331891601554741,0.6940611200179982
14,24.58048740454064,3.3132529860770212,0.6970752695189513
15,23.06523424474206,3.2992568961944353,0.7165825966021638
16,23.934232845352966,3.396719186030085,0.70590465055019
17,23.488375937380315,3.1769700111904204,0.711383181823871
18,23.687098121030335,3.2903742151727307,0.708941354236515
19,23.66414731832684,3.272640740765308,0.7092233655457912
20,24.604959106446067,3.3377977064677644,0.6985478169715038
21,23.259955197467338,3.2920757097857334,0.7150263798006238
22,24.511388342645063,3.2643684944226625,0.6996942163982789
23,24.54947565838522,3.275476968412598,0.6992275826426244
24,23.67048265865238,3.2440657596547333,0.7099967270858198
25,23.564997615155594,3.282545281737598,0.712136983931269
