Player Isiah Pacheco,Team KC,1 48%,2 51%,3 42%,4 60%,5 59%,6 Unnamed: 7_level_1,7 Unnamed: 8_level_1,8 Unnamed: 9_level_1,9 Unnamed: 10_level_1,10 Unnamed: 11_level_1,11 Unnamed: 12_level_1,12 Unnamed: 13_level_1,13 Unnamed: 14_level_1,14 Unnamed: 15_level_1,15 Unnamed: 16_level_1,16 Unnamed: 17_level_1,17 Unnamed: 18_level_1,18 Unnamed: 19_level_1,TTL 178,AVG 52%,POS POS,Player Kadarius Toney,1 25%,2 28%,3 3%,4 24%,5 38%,TTL 79,AVG 23%,Player Noah Gray,1 88%,2 61%,3 61%,4 49%,5 65%,TTL 222,AVG 64%
,DET,,,,,,,,,,,,,,,,,,,,,te,,,,,,,,,Darrell Daniels,0%,0%,0%,7%,25%,20.0,15%
,KC,,,,,,,,,,,,,,,,,,,,,te,,,,,,,,,Matt Bushman,11%,0%,0%,0%,0%,7.0,11%
,DET,,,,,,,,,,,,,,,,,,,,,te,,,,,,,,,James Mitchell,9%,3%,3%,13%,0%,20.0,7%
,SF,,,,,,,,,,,,,,,,,,,,,te,,,,,,,,,Ross Dwelley,18%,2%,14%,7%,21%,44.0,13%
,MIA,,,,,,,,,,,,,,,,,,,,,te,,,,,,,,,Tyler Kroft,3%,5%,0%,0%,0%,5.0,4%
,LAR,,,,,,,,,,,,,,,,,,,,,te,,,,,,,,,Davis Allen,1%,0%,0%,1%,2%,3.0,1%
,PHI,,,,,,,,,,,,,,,,,,,,,te,,,,,,,,,Grant Calcaterra,6%,13%,15%,1%,8%,33.0,9%
,ATL,,,,,,,,,,,,,,,,,,,,,te,,,,,,,,,John FitzPatrick,0%,1%,0%,2%,1%,3.0,1%
,JAC,,,,,,,,,,,,,,,,,,,,,te,,,,,,,,,Jacob Harris,0%,0%,10%,11%,0%,14.0,10%
,PIT,,,,,,,,,,,,,,,,,,,,,te,,,,,,,,,Rodney Williams,0%,0%,0%,0%,6%,4.0,6%
